condition,condition_subtype,group
XGv-055,class 2,C
XGv-072,class 3,E2.2
XGv-073,class 4,F1
XGv-074,class 3,D2
XGv-094,class 3,E2.1
XGv-097,class 2,C
XGv-107,class 3,D2
XGv-116,class 4,F3
XGv-152,class 2,C
XGv-155,class 2,C
XGv-157,class 4,F2
XGv-158,class 4,F2
XGv-159,class 4,F2
XGv-172,class 2,C
XGv-174,class 3,E2.1
XGv-175,class 3,E2.1
XGv-177,class 1,A
XGv-179,class 3,E3
XGv-19,class 4,F1
XGv-191,class 3,D1
XGv-198,class 3,E2.2
XGv-199,class 3,E2.1
XGv-20,class 3,E2.2
XGv-208,class 1,A
XGv-212,class 3,E2.2
XGv-214,class 3,E2.1
XGv-225,class 1,A
XGv-227,class 3,E2.1
XGv-232,class 2,C
XGv-233,class 3,E2.1
XGv-235,class 3,E3
XGv-236,class 4,F2
XGv-250,class 3,D1
XGv-251,class 3,E2.2
XGv-252,class 4,F1
XGv-253,class 1,B
XGv-261,class 1,A
XGv-263,class 3,D1
XGv-264,class 3,D2
XGv-265,class 3,D2
XGv-266,class 3,D2
XGv-279,class 1,B
XGv-282,class 3,D2
XGv-284,class 3,E2.1
XGv-285,class 3,D2
XGv-286,class 3,D2
XGv-287,class 3,D2
XGv-288,class 3,D2
XGv-289,class 3,D2
XGv-290,class 3,D2
XGv-291,class 3,D2
XGv-292,class 3,D2
XGv-293,class 3,D2
XGv-294,class 3,D2
XGv-295,class 3,D2
XGv-296,class 3,D2
XGv-297,class 3,D2
XGv-298,class 1,A
XGv-300,class 1,A
XGv-301,class 1,A
XGv-304,class 1,A
XGv-305,class 4,F1
XGv-306,class 4,F1
XGv-311,class 4,F1
XGv-318,class 4,F1
XGv-324,class 2,C
XGv-337,class 2,C
XGv-343,class 2,C
XGv-345,class 3,D1
XGv-346,class 3,E2.1
XGv-347,class 1,B
XGv-355,class 3,E3
XGv-360,class 4,F3
XGv-380,class 3,E2.2
XGv-387,class 1,A
XGv-401,class 3,E3
XGv-402,class 1,B
XGv-404,class 1,A
XGv-405,class 1,A
XGv-409,class 1,B
XGv-416,class 4,F2
XGv-418,class 3,E3
XGv-420,class 3,D1
XGv-421,class 3,E1
XGv-422,class 3,E3
